eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-08-06,08/06,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Louisville,Leopards,Louisville Leopards,Poland Seminary High School,Game,false,false,false,false,,,,2026-08-06_boys-soccer,2026-08-06_boys-soccer.jpg,7beb835f-85b5-4de9-ab2e-4e82bf5c4cb1
2026-08-08,08/08,2026,Boys Soccer,boys-soccer,varsity,Varsity,11:00 AM,Away,@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,,,,2026-08-08_boys-soccer,2026-08-08_boys-soccer.jpg,f63ba4a3-a23e-46af-91f4-c087fcd1f4fe
2026-08-12,08/12,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,Chagrin Falls,Tigers,Chagrin Falls Tigers,Chagrin Falls High School,Game,false,false,false,false,,,,2026-08-12_boys-soccer,2026-08-12_boys-soccer.jpg,cb4f29b9-904f-46f8-a2af-d0003b02c1ec
2026-08-15,08/15,2026,Boys Soccer,boys-soccer,varsity,Varsity,01:00 PM,Away,@,Marlington,Dukes,Marlington Dukes,Marlington High School,Game,false,false,false,false,,,,2026-08-15_boys-soccer,2026-08-15_boys-soccer.jpg,5c7c22b5-1ce9-4f44-b45f-1e3bedf06ef9
2026-08-18,08/18,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-08-18_boys-soccer,2026-08-18_boys-soccer.jpg,eb029393-8b44-4e64-9d34-89a0b644a22f
2026-08-20,08/20,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,,,,2026-08-20_boys-soccer,2026-08-20_boys-soccer.jpg,414fc8e2-195f-44e4-8848-e4379dea0074
2026-08-24,08/24,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,,,,2026-08-24_boys-soccer,2026-08-24_boys-soccer.jpg,ca25f6d9-0d80-46ab-8d9a-6350cc0c683e
2026-08-27,08/27,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Home,vs,Crestview,Rebels,Crestview Rebels,Poland Seminary High School,Game,false,false,false,false,,,,2026-08-27_boys-soccer,2026-08-27_boys-soccer.jpg,c98360ea-1676-4d2c-81e3-f9f1e768c686
2026-09-01,09/01,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,,,,2026-09-01_boys-soccer,2026-09-01_boys-soccer.jpg,3740b996-072e-4865-af54-73524129520a
2026-09-03,09/03,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:15 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2026-09-03_boys-soccer,2026-09-03_boys-soccer.jpg,9fe31e76-97bb-4f3c-9d21-0fbf92785c7a
2026-09-10,09/10,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-10_boys-soccer,2026-09-10_boys-soccer.jpg,e7429983-9f4e-4f52-8758-a88e3157a8a1
2026-09-14,09/14,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2026-09-14_boys-soccer,2026-09-14_boys-soccer.jpg,1b36103b-92e2-46c5-a9cc-5fce5aebe374
2026-09-17,09/17,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-17_boys-soccer,2026-09-17_boys-soccer.jpg,250f4aae-6ced-4076-a3e2-693586e7ea18
2026-09-21,09/21,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-21_boys-soccer,2026-09-21_boys-soccer.jpg,4f8dcb4f-95bc-4ed2-ae05-5e8c9f9d7212
2026-09-24,09/24,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-24_boys-soccer,2026-09-24_boys-soccer.jpg,74f9bfb6-dc7b-4038-b976-0604b1eebd4a
2026-09-28,09/28,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-28_boys-soccer,2026-09-28_boys-soccer.jpg,52cbe4f6-67e7-494d-aa34-bfc88be95264
2026-10-01,10/01,2026,Boys Soccer,boys-soccer,varsity,Varsity,05:00 PM,Home,vs,Champion,Golden Flashes,Champion Golden Flashes,Poland Seminary High School,Game,false,false,false,false,,,,2026-10-01_boys-soccer,2026-10-01_boys-soccer.jpg,6fd976e0-5ab4-43d9-a361-2522adcf470f
2026-10-05,10/05,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,,,,2026-10-05_boys-soccer,2026-10-05_boys-soccer.jpg,e454254c-4115-43c0-a7e5-d52f759ce615
2026-10-07,10/07,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,,,,2026-10-07_boys-soccer,2026-10-07_boys-soccer.jpg,631d8e11-d95b-4d20-b0b8-429bf31da3b6
2026-10-13,10/13,2026,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,West Branch,Warriors,West Branch Warriors,Poland Seminary High School,Game,false,false,false,false,,,,2026-10-13_boys-soccer,2026-10-13_boys-soccer.jpg,de11c348-e44c-46df-9500-9031106520d7
